id,time,likes,comments,reposts,views,text,ctr,url,year,month,day,tags
320900,1605604268,57,3,3,7159,"Мужчина  ухаживает за животными уже 25 лет. Девять из них он снимает енотьи пиршества на видео.

https://knife.media/raccoon-whisperer/",0.8,https://knife.media/raccoon-whisperer/,2020,2020-11,2020-11-17,"['животные', 'видео', 'люди', 'находка']"
320899,1605604203,33,1,5,7926,"Знаете, как добывали подноготную правду, зачем били мальчиков для битья и зачем носили шиворот-навыворот? Ужасная правда о русском языке.

https://knife.media/origin-of-idioms/",0.42,https://knife.media/origin-of-idioms/,2020,2020-11,2020-11-17,"['языки', 'история', 'насилие', 'россия']"
320894,1605600004,22,0,2,7755,"От проектов, помогающих детям-сиротам, до IT-стартапа, обучающего языку жестов, — рассказываем о шести ярких образовательных инициативах, которые могут стать примером для традиционных школ.

https://knife.media/edu-projects/

#партнерскийматериал",0.28,https://knife.media/edu-projects/,2020,2020-11,2020-11-17,"['партнерский материал', 'образование', 'будущее', 'мир', 'россия']"
320828,1605546303,106,0,13,14448,"Сказки братьев Гримм знают и любят и все, хотя на самом деле толком с ними никто не знаком: до недавнего времени полноценного научного издания всего их собрания на русском языке просто не было — но теперь наконец-то есть.

https://knife.media/bratya-grimm/",0.73,https://knife.media/bratya-grimm/,2020,2020-11,2020-11-16,"['книги', 'литература', 'люди', 'россия']"
320815,1605544203,182,30,22,28388,"Раса, пол и гендер для дзен-буддистов — пустотные категории, которые преодолеваются просветленным сознанием. Что для этого требуется, почему буддисты нередко выступают за права ЛГБТК+ и как это связано с их философией? Рассказывает востоковед Дмитрий Лещенко.

https://knife.media/queer-zen/",0.64,https://knife.media/queer-zen/,2020,2020-11,2020-11-16,"['ЛГБТ', 'религия']"
320795,1605535803,140,2,14,19609,"Споры вокруг теории сознания Пенроуза — Хамероффа, которая предлагает рассматривать процессы, происходящие в мозге, с точки зрения физики, а не биологии, не утихают уже более 20 лет. Рассказываем о сути концепции и о том, за что критикуют ее авторов.

https://knife.media/quantum-brain/",0.71,https://knife.media/quantum-brain/,2020,2020-11,2020-11-16,"['наука', 'биология', 'мозг', 'физика']"
320776,1605528603,178,8,11,20323,"Желтый — цвет экстаза, греха, богатства, атрибут Люцифера, нахальный и назойливый, но иногда божественный. Как его использовали художники разных эпох и почему после Второй мировой желтый цвет утратил популярность? Рассказывает искусствовед Мария Мороз.

https://knife.media/the-story-of-yellow/",0.88,https://knife.media/the-story-of-yellow/,2020,2020-11,2020-11-16,"['искусство', 'история']"
320760,1605526623,71,27,2,14418,"Столица России обошла Милан, Стамбул, Тель-Авив, Лос-Анджелес и другие мегаполисы.

https://knife.media/moscow-25/",0.49,https://knife.media/moscow-25/,2020,2020-11,2020-11-16,"['россия', 'москва']"
320745,1605519963,148,21,2,16026,"В некрополе Саккара нашли саркофаги, которые за 2500 лет никто не разграбил. Археологи в восторге.

https://knife.media/egyptian-necropolis/",0.92,https://knife.media/egyptian-necropolis/,2020,2020-11,2020-11-16,"['история', 'мир', 'смерть']"
320735,1605514203,103,10,5,23714,"Здорово, если наши бабушки и дедушки будут доживать до сотни лет в здравом уме и без тяжелых болезней. Но как это скажется на возможностях молодых людей и их благополучии?

https://knife.media/old-but-gold/",0.43,https://knife.media/old-but-gold/,2020,2020-11,2020-11-16,"['возраст', 'будущее', 'общество', 'поколения', 'философия']"
320691,1605454743,101,11,3,16666,"6-летний Архам создает небольшие игры на Python и мечтает о карьере IT-предпринимателя.

https://knife.media/youngest-programmer/",0.61,https://knife.media/youngest-programmer/,2020,2020-11,2020-11-15,"['дети', 'мир']"
